This Month,,,3 Month,,,6 Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
period,01-Feb-2020,29-Feb-2020,period,01-Feb-2020,30-Apr-2020,period,01-Feb-2020,31-Jul-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From Date,01-Feb-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To Date,31-Jul-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reservation Forecast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,This Month,,3 Month,,6 Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forecast,,Forecast,,Forecast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"4,308",,"6,805",,"9,058",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Room Nights,,Room Nights,,Room Nights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Forecast On The Book,,,,,Current Month Forecast,,,,,,,,,,Next Month Forecast,,,
Date,Total Occ.,Arr. Rooms,Dep. Rooms,Room Revenue,Average Rate,Day Use Rooms,No Show Rooms,Adl. & Chl.,,From Date,To Date,No of Day,Rooms,Total Room,Occ %,Total Revenue,,Month,  OCC  ,ADR,RM REV,,Date, Occ % ,Average Rate,Room Revenue,,,,,,,Date, Occ % ,Average Rate,Room Revenue
01-Feb-2020,166,109,66,"11,396",69,2,0,303,,01-Feb-2020,29-Feb-2020,29,"4,308","21,576",20%,"245,664.56",,Feb,19.97,57.03,"245,665",,1-Feb,22.31,68.65,"11,396.21",,,,,,,1-Mar,6,36.09,"1,696.21"
