Date,Total Occ.,Arr. Rooms,Dep. Rooms,Room Revenue,Average Rate,Day Use Rooms,No Show Rooms,Adl. & Chl.
01/02/2020,166,109,66,11.396,69,2,0,303
02/02/2020,172,91,85,11.786,69,2,0,283
03/02/2020,132,77,117,7.260,55,0,0,190
04/02/2020,118,56,70,6.208,53,4,0,172
05/02/2020,103,75,90,6.208,60,8,0,152
06/02/2020,100,54,57,5.399,54,0,0,144
07/02/2020,116,58,42,6.193,53,3,0,179
08/02/2020,112,80,84,5.536,49,0,1,173
09/02/2020,94,46,64,4.975,53,4,0,130
10/02/2020,88,42,48,4.566,52,1,0,121
11/02/2020,104,61,45,5.706,55,1,1,151
12/02/2020,122,77,59,6.359,52,1,1,180
13/02/2020,136,80,66,6.830,50,0,0,206
14/02/2020,139,88,85,7.242,52,2,4,213
15/02/2020,439,412,111,23.903,54,18,0,794
16/02/2020,377,46,108,20.117,53,1,2,677
17/02/2020,357,41,61,19.177,54,1,0,648
18/02/2020,330,21,48,19.094,58,2,0,609
19/02/2020,403,167,94,24.392,61,0,2,698
20/02/2020,166,31,267,11.786,71,0,3,275
21/02/2020,115,54,105,10.154,88,7,1,179
22/02/2020,80,32,67,5.406,68,1,0,134
23/02/2020,56,17,41,3.869,69,1,1,84
24/02/2020,46,17,27,895,19,3,0,65
25/02/2020,43,8,11,2.226,52,0,0,57
26/02/2020,79,43,7,3.901,49,0,0,120
27/02/2020,44,1,46,2.039,46,0,0,56
28/02/2020,44,11,5,2.053,47,0,0,57
29/02/2020,27,3,18,987,37,0,0,37
01/03/2020,47,2,5,1.696,36,0,0,56
02/03/2020,49,3,5,2.139,44,0,0,58
03/03/2020,56,4,0,2.483,44,0,0,68
04/03/2020,44,0,3,1.661,38,0,0,53
05/03/2020,34,1,3,1.147,34,0,0,42
06/03/2020,38,2,2,1.366,36,0,0,45
07/03/2020,37,3,2,1.378,37,0,0,46
08/03/2020,37,4,2,1.444,39,0,0,48
09/03/2020,37,3,6,1.588,43,0,0,45
10/03/2020,37,5,2,1.765,48,0,0,46
11/03/2020,46,1,4,2.103,46,0,0,49
12/03/2020,36,0,6,1.536,43,0,0,36
13/03/2020,46,0,1,1.680,37,0,0,46
14/03/2020,30,0,0,1.007,34,0,0,30
15/03/2020,33,1,1,1.323,40,0,0,34
16/03/2020,40,0,1,1.597,40,0,0,40
17/03/2020,26,0,0,880,34,0,0,26
18/03/2020,40,9,0,1.735,43,0,0,47
19/03/2020,48,1,1,2.231,46,0,0,56
20/03/2020,76,3,1,3.666,48,0,0,85
21/03/2020,37,1,2,1.613,44,0,0,47
22/03/2020,28,2,10,962,34,0,0,29
23/03/2020,57,0,1,2.798,49,0,0,58
24/03/2020,227,1,1,15.304,67,0,0,227
25/03/2020,55,2,2,2.450,45,0,0,56
26/03/2020,44,0,1,1.695,39,0,0,44
27/03/2020,37,2,1,1.429,39,0,0,38
28/03/2020,31,0,2,1.126,36,0,0,31
