Date,Total Occ.,Arr. Rooms,Dep. Rooms,Room Revenue,Average Rate,Day Use Rooms,No Show Rooms,Adl. & Chl.,,,,,
2/1/2020,166,109,66,"11,396",69,2,0,303,,,,,
2/2/2020,172,91,85,"11,786",69,2,0,283,,,,,
2/3/2020,132,77,117,"7,260",55,0,0,190,,,,,
2/4/2020,118,56,70,"6,208",53,4,0,172,,,,,
2/5/2020,103,75,90,"6,208",60,8,0,152,,,,,
2/6/2020,100,54,57,"5,399",54,0,0,144,,,,,
2/7/2020,116,58,42,"6,193",53,3,0,179,,,,,
2/8/2020,112,80,84,"5,536",49,0,1,173,,,,,
2/9/2020,94,46,64,"4,975",53,4,0,130,,,,,
2/10/2020,88,42,48,"4,566",52,1,0,121,,,,,
2/11/2020,104,61,45,"5,706",55,1,1,151,,,,,
2/12/2020,122,77,59,"6,359",52,1,1,180,,,,,
2/13/2020,136,80,66,"6,830",50,0,0,206,,,,,
2/14/2020,139,88,85,"7,242",52,2,4,213,,,,,
2/15/2020,439,412,111,"23,903",54,18,0,794,,,,,
2/16/2020,377,46,108,"20,117",53,1,2,677,,,,,
2/17/2020,357,41,61,"19,177",54,1,0,648,,,,,
2/18/2020,330,21,48,"19,094",58,2,0,609,,,,,
2/19/2020,403,167,94,"24,392",61,0,2,698,,,,,
2/20/2020,166,31,267,"11,786",71,0,3,275,,,,,
2/21/2020,115,54,105,"10,154",88,7,1,179,,,,,
2/22/2020,80,32,67,"5,406",68,1,0,134,,,,,
2/23/2020,56,17,41,"3,869",69,1,1,84,,,,,
2/24/2020,46,17,27,895,19,3,0,65,,,,,
2/25/2020,43,8,11,"2,226",52,0,0,57,,,,,
2/26/2020,79,43,7,"3,901",49,0,0,120,,,,,
2/27/2020,44,1,46,"2,039",46,0,0,56,,,,,
2/28/2020,44,11,5,"2,053",47,0,0,57,,,,,
2/29/2020,27,3,18,987,37,0,0,37,,,,,
3/1/2020,47,2,5,"1,696",36,0,0,56,,,,,
3/2/2020,49,3,5,"2,139",44,0,0,58,,,,,
3/3/2020,56,4,0,"2,483",44,0,0,68,,,,,
3/4/2020,44,0,3,"1,661",38,0,0,53,,,,,
3/5/2020,34,1,3,"1,147",34,0,0,42,,,,,
3/6/2020,38,2,2,"1,366",36,0,0,45,,,,,
3/7/2020,37,3,2,"1,378",37,0,0,46,,,,,
3/8/2020,37,4,2,"1,444",39,0,0,48,,,,,
3/9/2020,37,3,6,"1,588",43,0,0,45,,,,,
3/10/2020,37,5,2,"1,765",48,0,0,46,,,,,
3/11/2020,46,1,4,"2,103",46,0,0,49,,,,,
3/12/2020,36,0,6,"1,536",43,0,0,36,,,,,
3/13/2020,46,0,1,"1,680",37,0,0,46,,,,,
3/14/2020,30,0,0,"1,007",34,0,0,30,,,,,
3/15/2020,33,1,1,"1,323",40,0,0,34,,,,,
3/16/2020,40,0,1,"1,597",40,0,0,40,,,,,
3/17/2020,26,0,0,880,34,0,0,26,,,,,
3/18/2020,40,9,0,"1,735",43,0,0,47,,,,,
3/19/2020,48,1,1,"2,231",46,0,0,56,,,,,
3/20/2020,76,3,1,"3,666",48,0,0,85,,,,,
3/21/2020,37,1,2,"1,613",44,0,0,47,,,,,
3/22/2020,28,2,10,962,34,0,0,29,,,,,
3/23/2020,57,0,1,"2,798",49,0,0,58,,,,,
3/24/2020,227,1,1,"15,304",67,0,0,227,,,,,
3/25/2020,55,2,2,"2,450",45,0,0,56,,,,,
3/26/2020,44,0,1,"1,695",39,0,0,44,,,,,
3/27/2020,37,2,1,"1,429",39,0,0,38,,,,,
3/28/2020,31,0,2,"1,126",36,0,0,31,,,,,
3/29/2020,44,0,0,"1,928",44,0,0,44,,,,,
3/30/2020,50,2,0,"3,767",75,0,0,52,,,,,
3/31/2020,43,0,2,"1,885",44,0,0,43,,,,,
4/1/2020,31,1,0,"1,140",37,0,0,32,,,,,
4/2/2020,36,1,1,"1,536",43,0,0,36,,,,,
4/3/2020,34,0,0,"1,240",36,0,0,34,,,,,
4/4/2020,26,0,0,903,35,0,0,26,,,,,
4/5/2020,26,1,1,902,35,0,0,27,,,,,
4/6/2020,26,0,0,902,35,0,0,27,,,,,
4/7/2020,25,0,1,844,34,0,0,25,,,,,
4/8/2020,46,0,0,"2,152",47,0,0,46,,,,,
4/9/2020,24,0,1,844,35,0,0,24,,,,,
4/10/2020,30,1,0,"1,113",37,0,0,31,,,,,
4/11/2020,33,0,0,"1,239",38,0,0,34,,,,,
4/12/2020,25,0,0,902,36,0,0,26,,,,,
4/13/2020,41,0,1,"1,920",47,0,0,41,,,,,
4/14/2020,43,0,0,"1,349",31,0,0,43,,,,,
4/15/2020,37,0,0,"1,612",44,0,0,37,,,,,
4/16/2020,24,0,0,844,35,0,0,24,,,,,
4/17/2020,29,0,0,"1,054",36,0,0,29,,,,,
4/18/2020,26,2,0,978,38,0,0,29,,,,,
4/19/2020,26,2,2,953,37,0,0,28,,,,,
4/20/2020,26,0,0,953,37,0,0,28,,,,,
4/21/2020,24,0,2,844,35,0,0,24,,,,,
4/22/2020,62,1,1,"2,005",32,0,0,62,,,,,
4/23/2020,51,0,0,"2,448",48,0,0,51,,,,,
4/24/2020,24,0,0,845,35,0,0,24,,,,,
4/25/2020,36,0,0,"1,350",37,0,0,36,,,,,
4/26/2020,29,0,0,"1,055",36,0,0,29,,,,,
4/27/2020,32,0,0,"1,181",37,0,0,32,,,,,
4/28/2020,32,3,0,"1,220",38,0,0,35,,,,,
4/29/2020,54,2,0,"2,708",50,0,0,59,,,,,
4/30/2020,49,0,0,"2,277",46,0,0,54,,,,,
5/1/2020,37,0,4,"1,454",39,0,0,38,,,,,
5/2/2020,41,1,2,"1,602",39,0,0,42,,,,,
5/3/2020,35,0,1,"1,320",38,0,0,35,,,,,
5/4/2020,38,0,0,"1,566",41,0,0,38,,,,,
5/5/2020,54,4,0,"2,545",47,0,0,54,,,,,
5/6/2020,60,0,0,"2,899",48,0,0,60,,,,,
5/7/2020,34,2,0,"1,609",47,0,0,36,,,,,
5/8/2020,36,2,3,"1,739",48,0,0,38,,,,,
5/9/2020,33,0,0,"1,613",49,0,0,35,,,,,
5/10/2020,22,0,6,815,37,0,0,22,,,,,
5/11/2020,29,0,0,"1,229",42,0,0,29,,,,,
5/12/2020,29,0,0,"1,229",42,0,0,29,,,,,
